番号,判定,総プレイ時間(時間),レビュー本文,AI感情判定(Ollama),具体的な要因,要因の分類,AIによる分析理由
65,おすすめ,22,"発売を心待ちにしている間、様々なトレイラーが公開されていましたが、どれも開発者がべらべらと喋るかムービーばかりでプレイ映像などがほぼ無いので、嫌な予感はしていました。お布施として購入しましたが、発売からしばらくたった今なおやる気が起きないですね。
もっとアップデートの頻度を上げられないだろうか。

_____________________________________

追記：サイエンスモード追加後

サイエンスモードが追加されたのでプレイしてみました。
無印KSPと比べるとUIがごちゃっとしていたり戸惑う部分もありましたが、やっと少しは遊べる内容になったと感じています。
サイエンスツリーは無印と比べて、Mun往還前後が目標となる低階層からドッキングポート開放が解放され、序盤から出来ることが増えていて個人的に好印象です。
ロケット組み立て時の⊿VやTWR等のステータスを、行き先に合わせて各ステージ毎に確認できるようになっているのも便利です。
まだまだコンテンツが足りない部分もありますが、劣化KSPではなくKSP""2""の色が見え始めたので評価をGoodに変更しました。",positive,サイエンスモード追加,ゲームシステム,サイエンスモードの追加により、プレイできる内容が増えたため。
66,おすすめしない,35,"グラフィックだけ良くなってKSP1の初期に逆戻りした感じ。
開発中止にならないことを祈っています。",negative,グラフィック,演出・グラフィック,グラフィックだけが良くなった点を指摘し、KSP1初期と比較してネガティブな印象を持っているため。
67,おすすめ,95,"最新のパッチで[b]「ドッキング相手が消滅するバグ」[/b]が誕生しました
作ってた宇宙ステーション返して (ꐦ`•ω•´)",negative,バグ,ゲームシステム,ドッキング相手が消滅するバグが発生したため。
68,おすすめしない,43,"絶対に今買わないで！！！！！！！
アップデートの頻度が遅すぎてキレました！！！！！！！
アーリーアクセスだから仕方ないと言ったらそれまでですが！それにしては高すぎる！！！！
これよりも高いとしたら製品版は一体いくらになるんでしょう？？？
現時点での妥当な値段は2000円ほどだと思います、無印の下位互換となっているので大人しく後5年ぐらいは初代で遊びましょう",negative,アップデートの頻度,ボリューム・価格,アップデートの頻度の遅さと高すぎる値段を指摘しているため。
69,おすすめしない,3,"結論を最初に書くと、ゲームの基本的な部分の不具合が多すぎる。(Too many bugs)
前作無印からのプレイヤーです。確かにまだアーリーアクセスの段階であり、また、2の良い部分は実際ありますが、それ以外の基本的な部分でバグが多く、通常のプレイすらも危ういです。
ロケット組み立て中にフリーズからの強制終了、マニューバノードが全くいじれない、パーツ破壊をオフにしていても何故か爆発する等の現象が起き、事前情報で不具合の多さは知っていましたがプレイ継続がきついです。
新しい機能を実装する前に、まずは不具合を潰して安定して遊べるようにして欲しいです。

◯おすすめな人
・開発支援でデバッグ代を出したい人
・動画投稿等で不具合でもネタにできる人

◯おすすめできない人
・普通にプレイしたく、不具合に耐えられない人

◯良い所
・グラが綺麗
・無意味な発射カウントダウン
・発射場が複数選べる",negative,バグの多さ,ゲームシステム,レビューでは、ロケット組み立て中のフリーズやマニューバノード操作不能など、多くのバグが挙げられており、プレイ継続が困難であると述べているため。
70,おすすめしない,9,アーリーとはいえ不具合が多すぎます。前作で出来ていたことがまるで出来ていない。宇宙船の挙動がおかしい(突然爆発四散して作用圏外までとんでくことがある)どころか数字が嘘をついたり(画面が切り替わるとΔVが変動したり)します。グラフィックは綺麗だけど、ほんとに褒められる点がそれくらいしかない。コンテンツ量が少ないとかじゃなくて根幹たる宇宙開発そのものが満足にできませんね。やたらと意識だけは高い開発にお布施するにしても価格設定が強気すぎる。少なくみてもあと３年は様子見すべきかな～,negative,不具合,ゲームシステム,ゲームの根幹である宇宙開発が満足にできないほど不具合が多いから。
71,おすすめしない,7,"Do not buy at all. This game is a TERRIFIC SCAM.

Since December 20, 2023, almost A YEAR AGO, this game has NO UPDATES except for a few minor bug fixes. Almost A HALF YEAR AGO, the last date this game was updated, and since that day, there has been no news about the dev going, the status of the next update or any other things about KSP 2.

In brief, the dev team, Intercept Games, or the publisher, Private Division, had thrown out the development of this game. It would be OK if this game were not a successor to a mega-succeeded title, or if the developers or publishers wouldn't have used the name to promote the game, or even, in the worst case, if they were honest with everyone if they decided to stop developing the game. But they have been disingenuous with anyone (however, I don't know if they have been sincere with their stakeholders, lol).

They have sunk into silence even now, and the store page vigorously promotes the future of this game, once brilliant, but vain for now.",negative,更新の無さ,ボリューム・価格,長期間にわたってゲームのアップデートが無く、開発チームからの情報も一切ないため。
72,おすすめしない,6,"現状少なくとも今はお勧めできません。
理由はUIの操作性が悪い事と開発途中のため不完全であるためです
ビジュアルが良くなっても２なのに初期のKSPのようでは元も子もありませんし
私は今後KSPのように更新で良くなっていくことを期待しています",negative,操作性,ゲームシステム,UIの操作性が悪いとレビューされているため。
73,おすすめしない,49,"期待はしてる。現在はα版に近い。時間をかければいいゲームになると思う。
2024/05 追記
開発元閉鎖がしたので低評価に変えようと思ったが
「Kerbal Space Program 2」については，何らかの形で開発を継続すると，Take-Two Interactive幹部が答えている
とのことなので高評価のまま様子見します
2025/03追記
2024/06を最後にアップデートが来ないため開発終了したようです。。。未完成品で終わるなら低評価せざるを得ません",negative,開発終了,外部要因・映画化,開発元閉鎖とアップデート停止により、ゲームが未完成品で終わる可能性があるため。
74,おすすめ,0,"未経験の場合KSP1を先にプレイすることを勧めます。

将来マルチ対応予定を楽しみにしています。",positive,マルチ対応予定,その他,マルチ対応予定が楽しみであるため。
75,おすすめ,0,"なんかプロセッサーとかグラボとかよくわかんないけど
とりあえずノートで買おうとしてる諸君
現状ノートPCでは結構なスペックでもゲームを開始できませんよ！
（全部最低設定でも）
しかし我々は宇宙開発を捨てたわけではない。
アーリーアクセスが終わる頃にはまた戻ってくる",negative,スペック不足,ゲームシステム,ノートPCで最低設定でもプレイできないほどの高いスペックを必要とするため。
76,おすすめしない,77,"2025年7月22日更新
開発スタジオが閉鎖され親会社のPD諸共T2から放出されて完全沈黙状態。
心の奥底で「ゲーム業界は利益至上主義とユーザー軽視で自滅祭り中だけど、どっかの開発会社がIP買い取ってくれないかな」と思っていたけど、2025年1月にKSP2にも関わりのある事がゲームメディアで報道された。
他社系列開発スタジオ独立問題を発端にそのスタジオを一斉退職した方々が独立し現権利者とされる投資会社から支援を受け同社からPDが所有していたIP等を買い取ったのでは(一部報道では買い取るのでは)ないかと言う報道。
只、現状では噂の領域の話であって報道から半年が経っても内容の真偽がはっきりしていない。
そして、IPを取得した所で現状のKSP2に開発を再開するメリットがあると判断されるのか、再開した所で安定して開発を続けて行けるのか等々…
購入を考えている方は上記の件がどうなるかを見届けてから購入の是非を判断した方が賢明と思います。

現状の内容はKSP(1)をやった事がある方なら応用でなんとか遊べる程度で、KSP(1)をやった事がないと言う方はバグが多過ぎて正しい動作なのかバグなのかの判断が付かず真面に遊べない内容です。",negative,バグ,ゲームシステム,レビューではKSP(1)をやった事がない方はバグが多すぎて正しい動作なのかバグなのかの判断が付かず真面に遊べない内容だと述べているため。
77,おすすめ,40,"0.1.2.0の状態でも初期KSPに近い感覚で遊べるようになりました。
今後のロードマップに十分期待できる下地になっていると思います。",positive,初期KSPに近い感覚,ゲームシステム,初期KSPに近い感覚で遊べるようになった点が評価されているため。
78,おすすめ,156,"バグが多い。例えば、設定からデブリが表示される数を上げないとEVAができなかったり。(つまり緑の命はデブリ)
でもそれをずっと言っていても埒が明かないので、バグレポートをジャンジャン送りつけて、あっちのサーバーぶち壊しにいきましょう。将来に期待しておすすめします。
Debdeb星系って名前面白すぎだろ",positive,デブリ,ゲームシステム,デブリの数が設定で調整できるという要素が、ゲームプレイに影響を与えるため。
79,おすすめしない,12,開発再開してくれー,negative,開発再開,外部要因・映画化,ゲームの再開発を望んでいるため、現状に不満を抱いている。
80,おすすめしない,10,"バグまみれでゲーム性に乏しいうちに開発停止になってしまった
1000時間遊べるはずだったのになんてことだ",negative,ボリューム不足,ボリューム・価格,ゲームが短く、期待していたボリュームに達しなかったため。
81,おすすめ,264,"音楽と天体表面のテクスチャが格段に進歩しました。
確かに不具合は多いです。
しかし環境にもよるのでしょうが遊べます。
遠くの天体に遠征したりSSTOや宇宙ステーションを作ったり、多くの方がスクリーンショットを公開している通りです。",positive,音楽と天体表面のテクスチャ,演出・グラフィック,音楽と天体表面のテクスチャが格段に進歩した点が評価されているため。
82,おすすめ,193,"まだアーリーアクセス版という状態なので、バグが多いですがアップデートで改善されれば言う事なしの作品だと思います。
自由度が高くて、自分が設計した機体が思った通りに動いてくれた時の達成感は凄まじいです。
宇宙船に限らず、飛行機や車以外にも創造力で色々作れます。
もし上手くいかなくても、自分で考えて改善していくのも面白くて、いつの間にか時間が経っていて1日が終わってる事もあります
前作をプレイしていいなと思ったら、買うのも有りだと思います。",positive,自由度,ゲームシステム,自由度の高さで機体を設計し操作できる楽しさが表現されているため。
83,おすすめしない,1,"自分はKSP1を300時間近くやってます。
飛行機関連ですが、前作との違いです。
まず、主翼とスタビライザーに統一されました。といっても、正式版になったらもっと増えると思います。
前作にあったピッチ、ヨー、ロールは1つにまとめられました。つけられている角度によって異なります。
ゲームに関してですが、どうやらバグが多いようです。
RTX3080＆i7 11800Hをもってしてでも4倍速では少し重かったです。
正直なところこれで7000円弱は高いのでセールまで待ちましょう。
今すぐゲームとして遊びたい方やKSP2が初見の方はKSP1を買うことをおすすめします。
ですが化ける素質は十分あります。今回はおすすめしませんが将来に期待しながらプレイしていきます。",negative,価格,ボリューム・価格,7000円弱は高いと述べているため。
84,おすすめしない,1,開発中止状態です。バグまみれで正直お勧め出来ません。買わない方が良いです。,negative,バグ,ゲームシステム,バグが多い点を指摘し、おすすめしないため。
85,おすすめしない,188,"2024/11/17 開発者のInterceptGamesが解散、IPが売却予定という事で、アーリーアクセスのまま開発が中止された状態です。それなりに遊べなくはないですが、現状購入をおすすめする事はできません。KSP1で遊びながら、開発が再開されるか、他の宇宙開発ゲームが進展するのを待ちましょう。

2023/04/16 Patch2のリリースにより、プレイに支障をきたすバグが発生するケースがかなり減少しました。
動作もリリース直後に比べてかなり快適になってきています。

2023/03/17 Patch1がリリースされ深刻なバグのいくつかが解消し、かなり遊びやすくなりました。

2023/02 現状バグが散見されゲームプレイに支障をきたしていますので、KSPを始めてプレイされるという方にはオススメしにくい状況です。とりあえずウィッシュリストに登録しておき一通り最適化が進み、コンテンツが充実してきた辺りで購入されても遅くはないかと。
興味を持たれたらまずは前作を購入して体験してみるのがおすすめです。ハマれば何百時間も遊べます。

前作に比べてBGMやメカニックの描写が大幅に強化されており、臨場感はすごいです。
Ver1.0がリリースされる頃にはとんでもないゲームに化けているかも？
と、期待しながら毎日遊んでいます。",positive,前作との比較,その他,前作と比べてBGMやメカニックの描写が大幅に強化されており、臨場感がすごいと述べているため。
86,おすすめしない,20,"[h3]最終レビュー[/h3]
でもパラドはちゃんと完成させるんだよね

[hr][/hr]

[h3]サイエンス実装後[/h3]
For Science!
サイエンスモードが実装されたことで、とりあえずは[b]ゲーム[/b]として遊べるようになった。
α版以前とすら言えるような状態でのリリースにも意味があったようだ。
少なくとも「KSP遊びたいなら2じゃなくて1買え」とは言わずに済むようになった。

まだグラフィック向上版のKSPといった程度だが、ちゃんとアップデートしてくれるようなので今後への期待を込めても[b]おすすめ[/b]。

[hr][/hr]

[h3]発売当時のレビュー[/h3]
パラドですらもうちょっとまともな状態でリリースする。",positive,サイエンスモード実装,ゲームシステム,サイエンスモードの実装により、ゲームとして遊べるようになったため。
87,おすすめしない,94,"今度は1.0のリリースに向けて修正パッチの頻度を下げるらしい。
不具合を早く直してほしいのは分かるが頻度を下げるらしい。
資金も士気も十分にあるらしい。
こっちの士気はとっくに無いよ。
あなた達は私達とは真逆の考えであることに絶望しています。
1度にあれほどたくさんのパッチを望んではいません。
頻度を上げて少しでも早く不具合が修正されることを希望しています。
It seems that they are planning to decrease the frequency of bug-fix patches for the 1.0 release. While I understand the desire to fix issues quickly, it seems they will be reducing the frequency. They apparently have sufficient funding and morale, but we have long since lost our morale.
You seem to despair at the fact that we have opposite ideas. You do not want so many patches at once. We hope to increase the frequency so that any issues can be fixed as quickly as possible.",negative,パッチ頻度の低下,外部要因・映画化,開発チームの考えとプレイヤーの意見が対立し、パッチ頻度の低減に不満を抱いているため。
88,おすすめしない,11,"現状とてもじゃないけれども遊べる状態じゃない。アーリーアクセスを盾に、基本的なゲームプレイ部分のバグをリリース２週間放置し、正式な導線を通してのコミュニケーションを一切せずに、discordや批評的なyoutubeチャンネルにのみコメントで返して、バグの修正の目安も告知していない。

アーリーアクセスとしてゲームを出す際に、ロードマップ上の機能がまだなかったり、多種多様の環境で起きうるバグ等が修正されていないのは当然のことだと思う。しかし、50人近くの従業員がいる企業でゲームの根本の動作にかかわるバグ（分離機構がそもそも動かなかったり、燃料がステージング上位部分から利用されたり、衛星マップでの軌道が表示されなかったり）一度遊んでみればわかるバグをとらないままリリースし、パフォーマンスを改善することが主の目的であるKSP2のパフォーマンスが1より圧倒的にひどいことなど、多くの問題を抱えたままリリースしているのが現状。「アーリーアクセスでみんなと一緒にいいゲームにしていこう！」といえば聞こえはいいが、かなり厳しい言い方をするとそもそも意見を出すに値するレベルに達していない。

もしこれが5人とかで作っているゲームであれば大きな問題にはならなかったと思うが、40～50人規模の開発期間５年強のプロジェクトで、さんざん公式youtubeチャンネルにおいて制作ショートドキュメンタリを出してゲーム内容を持ち上げておいて、出されたのがこれだと流石に「5年間何してたの？」ってなる。ロードマップの内容である新機能等が入るのがいつになるのかわからないが（実際ロードマップに期間や期限は記されていない）、相当先になるのは目に見えている。

グラフィックはきれいで音もきれいだが、それ以外に褒められるところがほとんどなく、KSP1にMOD入れてやるのが当分正しい遊び方になるとは思う。いずれよくなることを祈っているが、TakeTwo(開発のPrivate Divisionの親会社)の大規模レイオフがこのタイミングで行われていることなど、あまり期待はしていない。KSP1が大好きなので非常に心苦しいが、とてもじゃないけどおすすめはできないし、今でもしっかり遊べる1をやってほしいと思う。",negative,バグの多さ,ゲームシステム,根本的な動作にかかわるバグが多く、プレイに支障をきたしているため。
89,おすすめしない,65,"このゲームを購入し一通りプレイした感想です。
グラフィックやサウンドの向上により没入感が上がりましたが、ゲームがかなり重いのでせっかくのグラフィックを楽しめずにいます。ゲームに対応しているノートパソコンで推奨値もそれなりに満たしているはずなのですがグラフィック設定を「低」にしてもかなり重いです。それにバグもかなり多く着陸したはずの機体がいつの間にか惑星を貫通していたりします。自分の中ではゲームを軽くしてほしいというのが一番の願いです。これで6000円以上はかなり高いと思います。現在購入を検討中の方はご自身のパソコン環境やお財布状況を確認したうえで購入することを推奨いたします。今後の運営さんの動きに期待しております。よろしくお願いします。",negative,ゲームの重さ,ゲームシステム,グラフィック設定を「低」にしてもかなり重いという記述から、ゲームが重くプレイに支障があると感じているため。
90,おすすめ,365,どうしてこうなった,negative,映画化,外部要因・映画化,ゲームの内容ではなく、映画化に関する不満を述べているため。
91,おすすめしない,16,"このゲームは絶対に買わない方が良いです。

前作以下どころかバグだらけ未実装要素だらけでアーリーアクセスを開始するのはよくあることなのでまだ許せました。
そんな状態でSNS等で広告を打ったりフルプライスで売りつけたりするのもまだギリギリ許せました。

しかし…このファッキンシット運営は6月に業績悪化を理由に前作KSPの開発メンバーを全員クビににしやがりました。
（これはリークで判明したことで運営はそれを認めてません）
いまだにバクだらけでロードマップもほとんど進んでおらず今後のアップデートは望めない状態です。
事実、6月上旬アップデートから音沙汰が無くなり半年が経とうとしています。
今のゲームの出来と今後の展望を考えると、このゲームは

　　絶　対　に　買　っ　て　は　い　け　な　い　です。

なんというか前作のネームバリューを借りた集金目的のゲームでしたと言われたほうがしっくり来ます。
（アーリーアクセスでまともに遊べない状態なのに広告を大々的に打っていた時点で怪しむべきでしたね！）
良い夢見れたぜ…と言いたいところですがこんなの悪夢です。
本当に残念に思います。今後開発が続き、ロードマップが達成されることを切に願ってます。

なんかこのゲームおもろそーって思った人は前作買ってください。
このゲームは現状、総合的に前作比1/4くらいしか完成してません。（価格は２倍なのにな！）",negative,バグだらけ,ゲームシステム,レビューではゲームがバグだらけで未実装要素が多いと述べられているため。
92,おすすめしない,4,"いずれはKSP1に匹敵する素晴らしい作品になるでしょうが、今は手を出すべきではりません。
アーリーアクセスとして考えても、よほどのモノ好きでなければ避けましょう。

KSP2の目玉機能は実装されておらず、KSP1にも満たない状態です。
このような強気な価格でプレイしたい人など一握りでしょう。
一部では広告が打たれていますが時期尚早です。クラウドファンディングあたりにしておきべき。",negative,ボリューム不足,ボリューム・価格,KSP1にも満たない状態であり、強気な価格設定であるため。
93,おすすめ,40,k,negative,映画化,外部要因・映画化,映画化に期待していたが、ゲームの内容と関係ないため不満を述べている。
94,おすすめ,18,"KSPで分からなかった宇宙航行の仕組みが分るようになりました。チュートリアルを最初から最後までやれば、KSPでもムンの周回軌道までぐらいは行けるようになるはずです。KSP2の良いところは、惑星の作用点が視覚的に分かるようになったことと、初心者の方が、とっつきやすくなったことです。とてもフレンドシップになりました。
サクサク出来るようにもなりました。
　今は、KSPとKSP2（アーリーアクセス版）とを持っていた方が楽しめます。
　このソフトは、惑星起動と軌道投入までしか今のところ出来ませんが、ロケットの組み立てが出来ますので、そこまでの事しか考えてない人には大変おすすめできます。
　チュートリアルがまだ完成していませんが、バージョン１になるころには、かなり良くなりそうなので、KSPを難しすぎて間が開いてしまった人に是非ともやってほしいです。でもアーリーなのに結構お高い値段です。今は、KSPの補佐役と考えてもらえば、最後には、この手のシュミュレーターは結構いけそうな感じです。だとしたら、買うのは、セールを待ってみてもいいかもしれませんね。
　KSP2のおかげで、KSPのキャリアイベントが進むようになり、大変手に入れてよかったなと言うことです。
　悪いところは、かなりのハイスペックマシーンじゃないと、（RTX3080）ちょっと厳しいかもしれません。最終的にはRTX4090まで行くのかなと感じますが、今は、3080でも全然動きますので大丈夫です。
　コツがわかれば、たぶん小学生でも行けそうです。これをよしとするか、悪いとするとするかでしょうけどね。
　あと、RTX3080のファンがブンブン豪い音をだしますので、長時間やるのが怖いです。",positive,初心者向け,ゲームシステム,チュートリアルが充実し、とっつきやすくなった点が挙げられているため。
95,おすすめしない,21,"お布施として購入したがはっきり言ってゴミ

前作と比べて劣化したと言っているのではなく
そもそものゲームの完成度があまりのも低すぎる

ロケット組み立て棟でのバクが多くまともにロケットが組み立てられない
例えば、テクスチャが残ったままで機体をロードし直すまで消えない（それも画面の最上位に来て邪魔）

また、デザインの面でもユーザーをイライラさせる使用がある
ぱっと見デザインはスタイリッシュになったように見えるが
翼の形状をいじれるウィンドウがパーツマネージャーの下に出てくる初見殺しがある
もちろん、ウィンドウのポップアップの位置は変えれない

またパーツマネージャーなどのウィンドウでは数値はすべてスライダー
感度が高いマウスを使っている人間にとってはかなりつらい
そもそも、ウィンドウを表示、選択までが1秒以上かかり動作がもっさりしているため間違えて選択してしまうことが多発する

あまりにも組み立てが直感的にできないため、ロケットを飛ばしたいならプリセットで我慢せざる負えない状態

このようにユーザーが快適に遊べないのでこのような評価をつけた


ただ、私は今後のアップデートによって、神ゲーになることを信じている",negative,ゲームの完成度,ゲームシステム,バグや操作性の悪さがユーザー体験を阻害しているため。
96,おすすめしない,24,"[h1]KSP2の今後は大丈夫か？大丈夫だと言ってほしい[/h1]
前作は800時間ほどプレイした上での文章です。

[b]■良かった点[/b]
・グラフィックの改良
・サウンドの改良
・チュートリアルがわかりやすい
・とりあえず開発中止にはならなかった事
・マイルストーンどおりに開発されれば非常に遊びがいがありそう

発射時のウォーターカーテンや大気圏外ではプルームが拡散されるなど細かいところでそれっぽさが出ていてテンションが上がります。サウンドも重厚感がありチュートリアルも充実。試行錯誤してロケットを飛ばすという体験はとても向上しています。惑星の地形もリファインされて探検しがいがあるな！という印象です。2のメインとなるコロニーや星間航行やマルチプレイがこの空間でプレイできるとなると間違いなく楽しくなるだろうという印象でした。

[b]■悪かった点[/b]
・現状は前作を遊んだファン向け
・開発が長引いたとは言えこの価格と不具合と重さは辛い
・開発元から伝わる情報が購入したユーザーの期待とあまり噛み合っておらず不安

もう散々書かれている事ですが期待とは裏腹に現状ロケット作成は前作のリソースを使いまわしたαリリースという印象です。開発会社のゴタゴタやコロナ禍などでプロジェクトが滞ってたかもしれない事を考えても初代の土台がある状態から始まって3年半でこの状況、なら安定するまでさらに長期間…そこに新仕様が追加され…大丈夫か…？という不安になる印象でした。

「まだアーリーアクセスだ。今後改善されるだろう！」という意見はその通りなのですが、その意見はユーザーからではなくまずリリース時に開発側から伝えられるものであってほしかったですね…。現状のパフォーマンス問題やバグをどのように把握しているか、それはどれほど改善されるか、アップデートの頻度はどれくらいか、などこれからプレイを続けていくユーザーへの情報をわかりやすく充実させてKSP2は大丈夫だという印象を与えてほしいですね。（フォーラムに書かれた現状と開発の方針についての[url=https://forum.kerbalspaceprogram.com/index.php?/topic/212254-ksp2-performance-update]投稿[/url]もそのままトップのNewsに載せたりすればいいのに）",negative,開発元からの情報不足,外部要因・映画化,ユーザーの期待と噛み合っておらず不安を感じさせるため。
97,おすすめしない,23,"本当はオススメできない理由は既に色々あったけど、まぁアーリーだししゃーないよな、と思ってレビューは控えてた。
[h1]でも今スペースシャトル打ち上げようとしてて気が変わったわ。これはまったくもってクソ。[/h1]

もう買っちゃった人、ちょっと適当なロケット作ってラジアルデカップラーつけて、わくわくしながら他のMk3系の飛行機をマージしてみ？
がちゃーんつってその飛行機の [b]『 右 側 面 』 [/b]がラジアルデカプラにくっつくから。あのボートとかにくっついてるサイドフロートみたいに。はー。げんなりだわ。",negative,ゲームの不具合,ゲームシステム,ラジアルデカップラーとMk3系の飛行機のマージ時に、右側面が正しくくっつかないという不具合があるため。
98,おすすめしない,33,グラフィックや音はとても良くなったが、それ以外が全然ダメなのでKSPをやりましょう。,negative,その他,その他,グラフィックや音以外の要素がダメだと述べているため。
99,おすすめしない,137,"So, the game has multiple critical bugs resulting in a complete crash, gamebreaking bugs rendering gameplay extremely stressful, and numerous minor bugs impacting smoothness of gameplay.
While definition of ""early access"" is not quite fixed, this game is well in alpha stage of production, far from a state to invite public testers (ie open beta). Paying for this game is more close to backing cloud-funded projects.",negative,critical bugs,ゲームシステム,致命的なバグが多数存在し、プレイをストレスフルにするため。
100,おすすめ,3,"早期アクセスなのに動くってだけでも褒めるべき

でもアップデートの日付と情報出して♡
あとアーケード風のUIちょっとやだからメカメカしいUIに変えれる機能追加して♡",positive,動く,その他,ゲームが動作することを評価しているため。
