番号,判定,総プレイ時間(時間),レビュー本文
1,おすすめ,51,面白い
2,おすすめ,33,"ゲームクリアまでプレイ。
HD-2Dの出来があまりにもひどくてセール待ちしていたが、今作はかなり良かった。
オリジナル版よりかなり要素が削られているが、クリアまで３０時間くらいかかった。
過去作でクリアまでプレイできなかった人でもクリア可能な良調整になっており、過去作未プレイの人にも十分おすすめできる内容だと思った。
スマホ版の値段を考えると追加分でそこまでの価値があるかは微妙なところ。"
3,おすすめ,53,"ドールルックの新グラフィックが7の雰囲気と合いすぎている
職業掛け持ちシステムのおかげでメインロールを維持したまま熟練度稼ぎが可能
マリベル長期離脱の廃止

神すぎるリメイクです
プロビナだけは残して欲しかったかな"
4,おすすめ,65,"ドラクエ7初プレイだったのですがすごく楽しめました。
ですがキーファとか言う一時の性欲に負けて謎に自分のやることを正当化して仲間を捨てるNTR野郎だけは好きになれませんでした。
グラフィックもテンポもよかったと思いますが全体的にストーリーが暗いし胸糞悪い話が多いのはちょっときつかったです。
一つだけガチ不満をあげるとするならばハーブ園の物語が胸糞悪いし主軸の物語に関係ないしでガチでいらないとおもいました。その話を進めてるときにきつすぎてキーファの時よりもドラクエ７を投げだそうかと悩みました。"
5,おすすめ,44,"ドラクエの日セールで購入しました。
スマホ版で７を遊んだ以来なのでストーリーをところどころ忘れていたけど、大きな改変もなく感動するストーリーも追加されていて非常に楽しめました。
裏ダンジョン、裏ボスまでやって５０時間ぐらいなので割とサクサク進むと思いました。

マイナスな点をあげるとすれば、
原作にあった移民の町やその他の街がなくなっている。
職業をマスターしても呪文特技が引き継がれないから、たくさんの職に転職するメリットが少ない。
（メインと掛け持ちだけマスターすれば他の職をやらなくてもよかった）
職業熟練度の制約がないから雑魚モンスターを狩っていればすぐにマスターしてしまう
（難易度設定で、熟練度のもらえる数を変更可能）

上記２つとも、原作よりもサクサク進められるような変更なのですごくやりやすくなっていると思います。
セールで買うなら損はないと思いました！"
6,おすすめ,28,"まだ途中ですが文句無しに面白い
当時もドラクエ7やりましたがここ微妙だなと思ってた部分が
見事に削ぎ落とされててとても良き
今作はここ最近でやったRPGの中で一番好きかも
そのぐらいカチっとハマりました

大事なこと書くの忘れてたので追記：マリベルの走り方がかわいい"
7,おすすめ,45,omoroi
8,おすすめ,27,"６７.５時間プレイし全実績解除したので感想を書きます。
まずこのゲームは良作です、いいリメイク作品だと思いました。
個人的にいいなと思ったのは装備が豊富で戦略性が高いところとグラフィックですね
その他原作になかった新要素は結構良かったです。
ただやってて少し残念に感じたのはストーリーのテンポが良すぎた余り、
原作ほどひとつひとつの話への没入感は減ったなと思いました。
まとめると、全体的に面白い作品でした！楽しかったです！ありがとうございました！
あ、ただラッキーパネル限定装備、あれだけは許せません、、ｗ
綺麗なグラフィックで迫力のある冒険をしたい、そんな方には是非ともおすすめです！"
9,おすすめ,71,"3DS版リメイクをやっていた当時の俺はガキで...何一つ知らなかったんだよ
こんなにもマリベルがかわいいって気付いていれば...
俺は...こんな半端なクソ野郎にならずにすんだのに..."
10,おすすめ,41,ドラクエでしか得られない要素がある
11,おすすめしない,21,"たしかにフィギュア調のグラフィックは素晴らしいです。ドラクエの世界観にはまっています。今後のグラフィックの方個性はこれで良いのではと思うぐらい素晴らしいです。
ただし、最近のゲーム業界の慣例にあわせ、細かな難易度調整は不要だったと思われます。
面倒なので「簡単」にしたら、戦闘はただボタンを押すだけの作業と化し、移動→イベント、移動→イベントの繰り返しになり、まるで、つまらないアドベンチャーゲームのようになってしまいました。
ここまで簡単にするとロールプレイングではなくなってしまっています。

あの、戦闘をちまちま繰り返し、少しづつ強くなっていくのがドラクエの本質であり楽しさだったんだと思うようになりました。

迎合するあまり難易度調整をミスったとしか思えません。

あと、基本的に暗い話ばかりでイベントクリア後に爽快感がありません。

正直、つまらなくもないですが、面白くもないです。
このシリーズが海外で受けない理由がよくわかります。"
12,おすすめ,112,"当時PS版では石板集めで挫折したままになっていたけど、今作は見つけやすくなってサクサク進められた。
背景などの世界も含めてドール表現となっており、違和感のない一体感が素晴らしい。
戦闘スピードも快適でサクサク進められるうえに、先制アタックでそのまま倒せるシステムまであるので、育成の目標にもなる。
あまり当時のストーリーは覚えていないが、こちらもテンポよくダークさも垣間見える良い調整がされていそうだった。
今後のリメイクもこのクオリティを期待したくなる良い作品でした。

ただ一つ、ラッキーパネルだけは面白味が感じられなかったので数回しか遊んでいない。
実績にラッキーパネルが絡んでいるが、これはとてもじゃないけどやる気が起きなかったのでこれで終わり。"
13,おすすめ,72,おもしよいよ
14,おすすめ,24,"こんなに難易度低いゲーム初めてです。

小学校低学年に相当。

ハナクソほじりながらでもボス戦で勝てるレベル。

ラッキーパネルだけ異常にめんどくさい。"
15,おすすめ,265,"原作の3DSやPSの方がボリュームがあって楽しめる作品


グラフィック重視の弊害
・グラフィックを大幅に強化した割に着せ替え要素がない
・カメラアングルの自由度が低い
・その魅力を十分活かせていないと感じた
特にカメラ固定なのが残念でした。
MODのダイナミックカメラを導入すると全体像が見えてかなり良くなります。
グラフィックを売りにしている作品なのに、自由なアングルでプレイできないのは非常に勿体ないと感じました。
本来は運営側が実装すべき機能だったと思います。


ボイスについて
・ボイス実装が中途半端。
・イベントシーンくらいはフルボイスにしてほしかった。
・PS2時代からフルボイスを実現していた他社作品（テイルズシリーズなど）と比べると物足りない。


会話システムについて
・仲間会話もイベント関連の内容や短い台詞が中心で量が少なすぎる。


イベント削除について
運営側は
「スムーズに進められるようストーリー外の内容を削除した」
「カジノは海外展開を考慮した」と説明しているが実際には
・コスト面の問題
・開発期間不足
・グラフィック制作への注力による調整不足
などが理由だったように見えました。
そのため、「ユーザーのため」という説明が言い訳に聞こえてならないです。

キコリ関連のサブイベントや各地の細かなエピソードなど物語の本筋に直接関係しないイベントでも、世界観への没入感を高める重要な要素で、それらが削除されたことで世界の厚みが失われているような気がしました。



不満点を整理すると、
・グラフィックを売りにしているのにカメラ固定
・ボイスが中途半端
・仲間会話の大幅な減少
・サブイベントの削除
・世界観を深める要素の不足
・不足部分をユーザー配慮として説明しているように見える点
・グラフィック優先で他要素の調整が間に合わなかったように見える


せっかく先人たちが作り上げた優れた物語や仲間会話システムがあったのに、その土台を削ってしまったような印象です。

本作を初めて遊ぶ人なら十分楽しめるかもしれませんが、過去作品をプレイしたことがある人や、本作の後に3DS版・PS版を遊ぶ人であれば、グラフィックや石版探しの利便性を除き、旧作のほうが物語への没入感やボリューム面で優れていると感じる可能性が高いと感じます。"
16,おすすめしない,129,"ラッキーパネルがクソすぎる。
原作でダーマ神殿は鬼門だったので、ラッキーパネルで装備を揃えようとしたがリセット含めて100回ぐらいやってもメタスラ装備が出ない。
メタスラ装備どころか氷の杖もやまびこの帽子も出ない。
原作と仕様変えてまでプレイヤーに強い装備渡したくないのであればこんな面白くもないミニゲーム自体削除してしまえばよかったのに。
あとUIが使い難い。見た目新しくしても使い難いんだったら古くても使い易いUIでいいんだよ。
仲間との会話に対する返答もわかり難い。
否定形の問いに対し、会話内容を更に否定するつもりで「いいえ」を選んだら、何故か相手の問いに同意した事になったりする。
「はい」「いいえ」でしか返答できないなら「はい」「いいえ」で返答しやすい内容に推敲してくれ。
そういう会話に限って一度発生したら再発生しなかったりでげんなりする。

過去それなりにヒットした作品のリメイクですらここまでイライラさせる物にしてしまうぐらいだから、もうスクエニには0から面白い物を作れる能力なんて無いんだろうな。
だから5年経っても新作は何も進まずリメイクばっか作ってる訳だ。納得。

追記
現代でのラッキーパネルが輪をかけて酷い。
次回抽選アイテムのランクを上げるメタルスライムパネルの出現率が目に見えて減らされている。
過去世界では数回に一度出現する程度だったのが、2～30回に一度まで減らされている。
これが面白いのだと思ってるなら勘違いも甚だしいし、いやがらせでやってるなら終わってる。"
17,おすすめ,55,"初めて遊ぶ方をターゲットにした良リメイク作です

新規プレイヤーがストレスを感じそうな部分に手が入って
スムーズにゲームを進められる設計になっています。
グラフィック、演出面も大幅に強化されて過去作を何度も遊んでいても新鮮な気分でプレイできました。
バトルや育成回りの変更は最近のDQ作に合わせて大味なものになっていますが
難易度を上げてプレイしたのでDQ1~3リメイクほどのバランス崩壊を感じずに楽しめました。

ドロップ率アップ装備が有用すぎて呪いの装備と化すので
モンスターの心を入れる枠が無くなるのが惜しい・・・

過去作の思い出があるプレイヤーには追加＆削除されたシナリオによって
話の流れに違和感を感じたりする部分はあります。

また、昨今のSQEX作でよくあるUEのFatalErrorが発生することがあります
私の環境では起動オプションに-d3d11を入れることで回避できました。"
18,おすすめ,49,"昔のドラクエ7はやったことがないですがとてもめんどくさかったと聞いているので今回のリメイクは不満要素がほとんど何も無く非常に快適だったので現代の価値観に合ったとても良いリメイクだと感じました
収集リストを埋めようとした時にラッキーパネルが辛いくらいでゲーム体験はとても良かったです
他の方が書いていた私たちは勇者ではなくお客様になってしまったというレビューがなかなか面白くて的を射てると思いますが少なくとも私は勇者の旅を垣間見てる見物人でしかないのでこれで良いのです"
19,おすすめ,106,"全実績解除までクリア。
まさに令和クオリティの令和仕様に生まれ変わったDQ7といった感じで全体的にかなり質が良い。
グラ良し、音楽良し、ストーリーは令和仕様に若干簡略化されつつもDQ7の独特な鬱要素も残してあってGOOD。追加テキストやストーリーも原作を無理無く補強するような感じになっておりこれも良かった。
モンスター職・カジノ・移民の町廃止も走りきって削った理由もなんとなくわかるので今となっては良し。
細かい所だけど、負けイベがわかりやすくなっていたのも結構評価高い。

ただ、３つだけ個人的に見逃せない欠点があった。
１つは大規模な既存モンスターの解雇。DQ7の独特な世界観を作ってるモンスター達がボス系統以外ほぼ全てリストラされている(デスマシーン→こうてつまじんみたいにボスがいる種族はリストラされていない)。
制作コストの問題だというのはわかるのだがDQ7出身のアイツらとはこのタイミングを逃した今、２度と会えない事がほぼ確定しておりかなり悲しい。
２つ目はラッキーパネル。トロコンしない人からしたらちょっと美味しいミニゲームなのだがラッキーパネルでしか手に入らないアイテムが割とあるせいで、演出が長い・そもそも神経衰弱としてまあまあ大変・かなり運に振り回される等とストレス要素でしかなかった。これも消しておいて欲しかった・・・。
３つ目はまあこれは微々たる欠点だが、難易度を高くしてもなおそこまで難易度は高くないという部分。
プレイヤー側が結構インフレしていてそれにモンスターの耐久が追いつけていない感があった。まあダーマ神殿システムでゲームバランス取るのってムズいよなとは思うので少し仕方ない部分かもしれない・・・とはいえそれなら裏ボスは特にしっかりしてほしかった感じはある(事故要素がステテコや吠えるぐらいしかない)。
特に修羅ボスは難易度設定が反映されないせいでかなり・・・。

色々不満は書いたけど、楽しかった部分が大きく上回るのでDQ好きなら定価でもオススメ出来るレベル。DQ触ったことない人もかなり親切なゲームなので是非この機会に遊んでみてはいかがでしょうか。"
20,おすすめ,51,モンスター職がなくなってしまったのはとても残念でした。
21,おすすめ,34,"[h1] ドラゴンクエストVII Reimagined [/h1]
[h3] PS版にあった序盤の謎解き　なし
カジノ及び移民の町　なし
モンスター職業　なし
キャラクターボイス　あり（もちろん話すコマンドを使った時皆喋ってくれる）
メダル及び石板探しにおけるヘルプ機能　あり（使うかどうかは任意でありすごく便利）
キーファにくれてやった種が帰ってこない問題への解決法　あり
（離脱の際費やした分は返してくれるようになった）
いろいろ変わった部分はあるけどそれを踏まえた上での面白さ　（あくまで個人の感想ですが）あり！
[/h3]"
22,おすすめ,129,いいです
23,おすすめ,66,"賛否両論だった当時の7
　すごく遊びやすくなった印象

〇
・難易度の変更
　1＆2.3のリメイク作の問題点の改善を感じられた。
　快適にプレイ出来た
　レベルアップでキャラクターが全回復、ボス戦の前でセーブポイント
　「ガンガンいこうぜ」でもボス前でMPが尽きる事はあまりなかった
・ルーラの仕様変更、リレミトの削除
　いつでもダンジョンから脱出出来る、遠足の帰り道の心配がない

・導線の明確化
　目的が表示された事により原作によくある石板どこだっけ…？が無くなった
　石板の場所も教えてくれるので立ち止まる事がない

・サブ職業
　職業マスターのスピードが爆速になった

・キャラクターの描写
　ドラクエの物言わぬ主人公がカッコいいと思ったのは初
　ツンツン娘のマリベルが超デレ娘になっててもうお前ら付き合っちゃえよ状態
　ガボは可愛いし、アイラはお姉さんキャラしてる
　メルビンは良き指導者で優しいお爺ちゃん
　なんというかPTが爽やかでにぎやかになっていた

×
・各種鍵＆鍵付き宝箱の存在
　メモを取っておかないと忘れるのと
　イベント散策で手に入る「あの鍵」を取り忘れたら次いつ取れるのだろうか
　正直要らない要素だと感じた

・ラッキーパネルの存在
　時間と金と運さえあればあの豪華装備がバーゲンセール状態…なのだが、
　明らかに解放直後からバランス崩壊アイテムが手に入るのはちょっと。
　あと宝箱限定装備もアイテム図鑑に入れるのは止めて欲しい
　おかげで全実績コンプの前に飽きてしまった

・各種ぶっこわれ職業
　マダンテゲー
　MPあげて、吟遊詩人で消費MP０にして最大MPをカンストさせれば
　ほとんどのボスは何もさせずに終わらせる事が出来る
　
　勇者の光（複数）
　ずっと俺のターン！

　バースト分身ばくれつけん
　君が倒れるまで殴るのをやめない

・難易度（つよい）の敵行動パターン
　敵も上記マダンテ連発ゲーを避ける為、
　バーストからの行動が目立った。
　具体的には後半、
1　全体デバフor行動不能系のスキル
2　超高火力全体攻撃
　繰り返しで壊滅状態にされる

となるとこちらが先に動いてバースト状態になる前に倒してしまえば問題ないとなる訳で。
素早さの種と不思議な木の実集めが加速した。

とは言え全滅は1回、
裏ダンジョンのクソドラゴンにオートプレイで挑んで
毎ターンラリホーマ→なんか火炎耐性下げる攻撃→灼熱
の昏睡プレイ食らった程度だったので大分マイルドな調整だったと思います。

若い世代向けの調整になっているので初めて手に取る方は是非。"
24,おすすめ,20,"基本的にはおすすめ。よく仕上がってると思う。

オリジナルでは冗長的だった部分の削除と行ったストーリーラインのスリム化は良かったと思う反面、
モンスターパークや移民の町と言ったサブコンテンツ群がカットされてしまってるのは残念な点。"
25,おすすめ,52,グラフィックはドラクエ史上最高。キーファはネタキャラだと思ってたら非常に魅力的だった。
26,おすすめ,106,"ドラクエシリーズは安定した面白さがありますね。
ドールルックのグラフィックですが、キャラクターの髪の質感がカチカチな感じがして違和感を感じた以外は非常に良かったです。
トロコンまでして全体的には満足なのですが、個人的に残念だった部分を述べます。
カジノが無くなってラッキーパネルだけになったのは残念でした。ラッキーパネルは面白くない上に、辛口や激辛をクリアしようと思ったら録画前提の難度で不満でした。
昔のドラクエはゲームバランスが非常に良かった印象があるのですが、近年？の作品は今作も含め、一部の特技や魔法が非常に強く、ゲームバランスがあまり良くない感じがします。"
27,おすすめしない,54,"HD-2Dとかいう糞以下の産廃技術でリメイクされたロト3部作と比べると雲泥の差。
グラフィックが綺麗で驚いた。特に景色。でもそれだけ。他に良いところはない。
11を超える作品はもう出ないんだろうなとつくづく実感した。

原作がクリアまで100時間超えのやりこみ前提の仕様だったので、昨今のタイパ重視の客層に合わせて削られる要素があるのは仕方ないことだが、削った要素に対して追加した要素がほぼないのでまったくつり合いがとれていない。クリア後は特に顕著。エンドコンテンツは裏ダンと闘技場のみ。

カジノ削った理由が海外で売れなくなるからって何その守銭奴思考。
仕方ないんだろうけどもうちょっと隠せよ。羞恥心とか罪悪感とかないのかね。
インタビューで堂々と答えちゃうくらいだから後ろめたさとか全然ないんだろうな。怖。

過去のリメイクであった職業ごとの見た目変更が無くなったのも非常に残念。
ドールルックとかいう芸術家思考の技術を採用したせいなんだろうけど、わざわざ人形作らなくてもCG可できるよね。NPCやモンスターは人形作ってねえだろうが。
ゲームを作れ芸術家気取りども。ゲーム付映像作品はFFだけで結構です。
こういうクリエイターの無駄なこだわりのせいでゲームとしての楽しさを削られるのが一番イライラする。SNSで命削って作ってるとかレスしてたけど、今時こういうこと平気で言えちゃう企業ってまともじゃない。頭イカレてると思う。
おまえらのこだわりと自尊心をもうちょっと削ってくれ。

もう伝統的様式美みたいなものなんだろうけど、主人公喋らないのなんとかして。
今時こんな方法で感情移入やら自己投影なんかしないだろ。
ドラクエの主人公って皆喋れない病気とか障害でも持ってんの？それとも世界観的に呪い？
周りが喋りまくるから違和感がすごい。ものすごいコミュ障が旅してるみたいで
なんか見てて気を遣うんだよ。頼むからイベントシーンだけでも喋らせて。"
28,おすすめ,49,"前作までよりボリュームは減った印象がありますがサクサク進むドラクエ７はそれはそれで楽しかったです。
難易度は上げたほうがいつものドラクエに近いでしょうか
キーファ関連の追加イベントも好印象で相変わらずいいエンディングだなと感じました。

ですがクリア後いざトロコンしようかと思いたったところ、アイテムコンプのためにラッキーパネルの無限周回を強要され、このゲームの楽しかった思い出すべて台無しにしました。

あと検索しても同じ症状の方がいらっしゃらなかったのでおま環かもしれませんがオプション触らないと主人公たちの足音や環境音が全く聞こえません。
ボイス・BGM3・効果音10にしてプレイしていました。会心とルーラの音が爆音ですが無音よりましでした。"
29,おすすめ,90,bbbbbbbbbbbbbb
30,おすすめ,143,"●総評
　
　島が小さく、一部のストーリーが削除され、全体的にコンパクトにまとまっていた。後述のように育成要素もかなり楽で、裏ボス討伐、全員レベル99、全職業熟練度8、闘技場・修羅の道クリアまでやり込んでも、145時間だった。不必要にプレイ時間を多くしないことには好感が持てた。ただ、ラッキーパネルの難度が低ければ、もっとプレイ時間は短縮されただろう。

　キャラが人形のようにかわいい、主人公とマリベルの幼少期エピソードが追加されたこと、大人になったキーファと再会できること、レブレサックの胸糞ストーリーが改変されたことが良い。ただし、キーファが「アイラの先祖」との事実を、アイラ自身やグランエスタード王が知ることがなかったことには、違和感がある。

●石板、小さなメダル集め

「石板リスト」「メダル手帳」が非常にありがたい。ＨＤ‐２Ｄ版『ドラクエ3』『2』では、景品をすべてもらうには小さなメダルもすべて集める必要があったが、どこで取ったかが分からなくなり、すべての場所を再訪するハメになり、非常に困った。

●「正解」を知らないと突破できないパズル要素について

　過去ダーマの「封魔の牢獄」でのフォズ大神官の封印を解く際。左部屋のクリスタル破壊はまだいいが、右部屋のクリスタル破壊は難度が高過ぎる。ストーリー進行必須のパズルなのに、「正解」を知らないと突破できない。総当たりで選択肢を試すにしても、数が多すぎて非現実的。いくら発売後数時間で攻略情報が出回るとはいえ、【攻略情報を調べることが前提】なのは問題。ちゃんとゲーム中にヒントを用意すべき。もしくは、降参して仲間が解いてくれるようにすべき。

●ラッキーパネルについて
　
　ラッキーパネルの攻略が、「画面を動画保存する」ことが【前提】となっている。まだ、「甘口」「中辛」なら、まだ「画面の静止画撮影」だけでも何とかなる。が、「辛口」「激辛」になると、撮影した画面動画を見ることが【「必須」】になっている。さらに、めくるべき（メタルスライス、星、カギマーク）カードやめくってはいけないシャッフルカードの位置に付箋を貼る必要もある。

　難易度は「中辛」までにして欲しかった。それならば許容できる範囲であり、景品次第では楽しめた。

　メタルスライムの出現率が高ければまだしも、現状では低過ぎて、失敗した際の時間的・手間的・精神的損失が大き過ぎる。撮影した動画を見ること自体がかなり煩わしく、周回の手間がかかり過ぎる。もっと難易度は低くても良かったのでは？　スマホで動画を見ながら、カジノのスロットを回すのがちょうど良かったのでは？　さらには、「辛口」「大辛」成功時のファンファーレの演出もくどい。カットできぬため、周回テンポが悪くなる。

　さらには、「激辛」での景品出現率にも疑問である。特に、入手方法がラッキーパネルに限定されるわりには、知力のかぶとは宝箱から出るはぐメタシリーズと比べても、出現率が【極端に低い】。宝箱の、まじんのかなづち、天使のレオタードはクリア前でもモンスターからのドロップで入手できるので、知力のかぶとを宝箱にすべきだったのではないか？

　本来『ドラクエ』は「根気のゲーム」ではなかったのか？　コツコツ時間をかけてプレイすれば、ほしいアイテムを入手できるゲームではなかったのか？　プレイヤーの記憶力や外部ツール（録画、付箋）の影響が大き過ぎる。これでは本当に【神経が衰弱】する。

　しかも、ラッキーパネルはオリジナル版からあったとはいえ、海外のレーティングに媚びた結果、カジノの代替えとの位置づけも中途半端である。

　そこまでして海外で売りたいのであれば、ラッキーパネルという、ギャンブル性のあるミニゲーム自体を【完全削除】するべきだった。

　そして高性能な装備品の獲得手段としてなら、HD‐2D版『ドラクエ2』の「あなほり」「ふくびき」「モンスターからのドロップ」になぜ、ならわなかったのか？　

　はかいのつるぎや水のはごろもは、あなほりを繰り返すことで入手できた。ふくびきも、リセマラすれば、ゴールドカードやはぐれメタルシリーズの武器・防具などのレア景品も、根気で手に入った。はかぶさのけんですら、はぐれメタルを200匹程度たおして入手した。

　日本人にカジノのイメージを植え付けたのは『ドラクエ』ではないかのか？　海外のレーティングに媚びて『ドラクエ』の名物であるカジノを廃止し、精神的・時間的に甚大な負担がかかるラッキーパネルで、神経を衰弱させられた。日本版はカジノあり、海外版はカジノなしなら納得できる。日本のユーザーに海外のレーティングを強要するなら、【日本国内で販売すべきではない！】。販売国の習慣の尊重は、【日本も例外ではない！】

　HD‐２D版『ドラクエ3』で「性別廃止」を見事に有名無実化した手法にならってほしかった。

●レベル・熟練度上げについて

　中盤のコスタールで、特別レベル上げをしていないにもかかわらず、レベルが50近くあって驚いた。昔の『ドラクエ』なら、レベル40台半ばが「クリアレベル」だった。レベル上げの面倒がかなりなくなっている感じがする。

　特に過去のコスタールの大灯台で、くちぶえを使ってモンスターを呼び出すと、レベルが10、20はすぐ上がる。熟練度も、10分、20分戦っていると、1つ、2つの職業をマスターする。レベル・熟練度上げがかなり楽な感じがする。「こんなに簡単で良いのか？」という気もするが、どんどん上がっていくのが楽しい。

●ルーラ、リレミトについて

